accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001145549-20-064667,N-MFP2,788606,VANGUARD PENNSYLVANIA TAX-FREE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/788606/000114554920064667/0001145549-20-064667-index.htm
0000883622-20-000022,N-MFP2,883622,IVY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/883622/000088362220000022/0000883622-20-000022-index.htm
0001145549-20-064678,N-MFP2,1068204,TIAA-CREF LIFE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1068204/000114554920064678/0001145549-20-064678-index.htm
0001145549-20-064660,N-MFP2,1273878,VANGUARD CMT FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1273878/000114554920064660/0001145549-20-064660-index.htm
0001717981-20-000094,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171798120000094/0001717981-20-000094-index.htm
0001145549-20-064666,N-MFP2,788599,VANGUARD NEW YORK TAX-FREE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/788599/000114554920064666/0001145549-20-064666-index.htm
0001145549-20-064680,N-MFP2,702340,PENN SERIES FUNDS INC,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/702340/000114554920064680/0001145549-20-064680-index.htm
0001145549-20-064572,N-MFP2,914036,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/914036/000114554920064572/0001145549-20-064572-index.htm
0001727644-20-000049,N-MFP2,844779,BLACKROCK FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/844779/000172764420000049/0001727644-20-000049-index.htm
0001145549-20-064571,N-MFP2,1413032,Columbia Funds Variable Series Trust II,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1413032/000114554920064571/0001145549-20-064571-index.htm
0000898745-20-000620,N-MFP2,898745,PRINCIPAL FUNDS INC,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/898745/000089874520000620/0000898745-20-000620-index.htm
0001145549-20-064659,N-MFP2,1273878,VANGUARD CMT FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1273878/000114554920064659/0001145549-20-064659-index.htm
0001145549-20-064637,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/915092/000114554920064637/0001145549-20-064637-index.htm
0000949365-20-000453,N-MFP2,1048702,NATIONWIDE MUTUAL FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1048702/000094936520000453/0000949365-20-000453-index.htm
0001145549-20-064631,N-MFP2,787623,TRANSAMERICA FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/787623/000114554920064631/0001145549-20-064631-index.htm
0001145549-20-064663,N-MFP2,106830,VANGUARD MONEY MARKET RESERVES,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/106830/000114554920064663/0001145549-20-064663-index.htm
0001145549-20-064569,N-MFP2,1352280,Columbia Funds Series Trust II,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1352280/000114554920064569/0001145549-20-064569-index.htm
0001145549-20-064638,N-MFP2,65109,READY ASSETS GOVERNMENT LIQUIDITY FUND,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/65109/000114554920064638/0001145549-20-064638-index.htm
0001145549-20-064685,N-MFP2,1388485,FundVantage Trust,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1388485/000114554920064685/0001145549-20-064685-index.htm
0001717981-20-000092,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171798120000092/0001717981-20-000092-index.htm
0001145549-20-064668,N-MFP2,857490,VANGUARD VARIABLE INSURANCE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/857490/000114554920064668/0001145549-20-064668-index.htm
0001145549-20-064633,N-MFP2,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1161852/000114554920064633/0001145549-20-064633-index.htm
0001004726-20-000253,N-MFP2,896162,DFA INVESTMENT TRUST CO,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/896162/000100472620000253/0001004726-20-000253-index.htm
0001206774-20-003025,N-MFP2,2663,VOYA GOVERNMENT MONEY MARKET PORTFOLIO,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/2663/000120677420003025/0001206774-20-003025-index.htm
0001717734-20-000252,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171773420000252/0001717734-20-000252-index.htm
0001145549-20-064636,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/915092/000114554920064636/0001145549-20-064636-index.htm
0000883622-20-000021,N-MFP2,883622,IVY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/883622/000088362220000021/0000883622-20-000021-index.htm
0001145549-20-064561,N-MFP2,203002,DAVIS SERIES INC,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/203002/000114554920064561/0001145549-20-064561-index.htm
0000928816-20-001268,N-MFP2,81248,PUTNAM MONEY MARKET FUND,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/81248/000092881620001268/0000928816-20-001268-index.htm
0001145549-20-064669,N-MFP2,830744,WILMINGTON FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/830744/000114554920064669/0001145549-20-064669-index.htm
0001145549-20-064632,N-MFP2,814079,Funds For Institutions Series,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/814079/000114554920064632/0001145549-20-064632-index.htm
0001145549-20-064635,N-MFP2,893818,BlackRock Funds III,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/893818/000114554920064635/0001145549-20-064635-index.htm
0000928816-20-001270,N-MFP2,822671,PUTNAM VARIABLE TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/822671/000092881620001270/0000928816-20-001270-index.htm
0000949365-20-000454,N-MFP2,353905,NATIONWIDE VARIABLE INSURANCE TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/353905/000094936520000454/0000949365-20-000454-index.htm
0001145549-20-064563,N-MFP2,1096012,AMERICAN BEACON SELECT FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1096012/000114554920064563/0001145549-20-064563-index.htm
0001145549-20-064657,N-MFP2,783401,VANGUARD CALIFORNIA TAX-FREE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/783401/000114554920064657/0001145549-20-064657-index.htm
0001145549-20-064679,N-MFP2,1084380,TIAA-CREF FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1084380/000114554920064679/0001145549-20-064679-index.htm
0001206774-20-003024,N-MFP2,837276,Voya INVESTORS TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/837276/000120677420003024/0001206774-20-003024-index.htm
0001717981-20-000093,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171798120000093/0001717981-20-000093-index.htm
0001145549-20-064665,N-MFP2,821404,VANGUARD NEW JERSEY TAX-FREE FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/821404/000114554920064665/0001145549-20-064665-index.htm
0001727644-20-000045,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000172764420000045/0001727644-20-000045-index.htm
0001145549-20-064676,N-MFP2,777535,COLLEGE RETIREMENT EQUITIES FUND,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/777535/000114554920064676/0001145549-20-064676-index.htm
0001206774-20-003026,N-MFP2,1066602,Voya FUNDS TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1066602/000120677420003026/0001206774-20-003026-index.htm
0001727644-20-000048,N-MFP2,319108,"BlackRock Series Fund, Inc.",2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/319108/000172764420000048/0001727644-20-000048-index.htm
0001727644-20-000046,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000172764420000046/0001727644-20-000046-index.htm
0001717734-20-000251,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171773420000251/0001717734-20-000251-index.htm
0000894189-20-008900,N-MFP2,1761511,North Capital Funds Trust,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1761511/000089418920008900/0000894189-20-008900-index.htm
0001145549-20-064671,N-MFP2,314650,EDWARD JONES MONEY MARKET FUND,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/314650/000114554920064671/0001145549-20-064671-index.htm
0001145549-20-064530,N-MFP2,766351,Securian Funds Trust,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/766351/000114554920064530/0001145549-20-064530-index.htm
0001145549-20-064630,N-MFP2,778207,TRANSAMERICA SERIES TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/778207/000114554920064630/0001145549-20-064630-index.htm
0000810016-20-000011,N-MFP2,810016,Ivy Variable Insurance Portfolios,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/810016/000081001620000011/0000810016-20-000011-index.htm
0001145549-20-064670,N-MFP2,830744,WILMINGTON FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/830744/000114554920064670/0001145549-20-064670-index.htm
0001145549-20-064628,N-MFP2,1065899,ALIGHT SERIES TRUST,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1065899/000114554920064628/0001145549-20-064628-index.htm
0001145549-20-064656,N-MFP2,891190,VANGUARD ADMIRAL FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/891190/000114554920064656/0001145549-20-064656-index.htm
0001004726-20-000251,N-MFP2,1039803,PROFUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/1039803/000100472620000251/0001004726-20-000251-index.htm
0001717734-20-000253,N-MFP2,844779,BLACKROCK FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/844779/000171773420000253/0001717734-20-000253-index.htm
0001717734-20-000250,N-MFP2,97098,BLACKROCK LIQUIDITY FUNDS,2020-11-05,2020-10-30,,https://www.sec.gov/Archives/edgar/data/97098/000171773420000250/0001717734-20-000250-index.htm
