accession_no,form_type,cik,name,filed_at,report_date,series_id,filing_url
0001145549-19-000303,N-MFP2,814079,Funds For Institutions Series,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/814079/000114554919000303/0001145549-19-000303-index.htm
0001145549-19-000438,N-MFP2,916620,NORTHERN FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919000438/0001145549-19-000438-index.htm
0001145549-19-000580,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919000580/0001145549-19-000580-index.htm
0001145549-19-000658,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000658/0001145549-19-000658-index.htm
0001145549-19-000708,N-MFP2,934699,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/934699/000114554919000708/0001145549-19-000708-index.htm
0001145549-19-000342,N-MFP2,1084380,TIAA-CREF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1084380/000114554919000342/0001145549-19-000342-index.htm
0000928816-19-000018,N-MFP2,822671,PUTNAM VARIABLE TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/822671/000092881619000018/0000928816-19-000018-index.htm
0001500666-19-000009,N-MFP2,770906,FIRST INVESTORS LIFE SERIES FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/770906/000150066619000009/0001500666-19-000009-index.htm
0001145549-19-000390,N-MFP2,67590,"PRUDENTIAL Government Money Market Fund, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/67590/000114554919000390/0001145549-19-000390-index.htm
0001145549-19-000413,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000413/0001145549-19-000413-index.htm
0001145549-19-000521,N-MFP2,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/795384/000114554919000521/0001145549-19-000521-index.htm
0001145549-19-000584,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919000584/0001145549-19-000584-index.htm
0001145549-19-000598,N-MFP2,909466,AIM TAX EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS),2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/909466/000114554919000598/0001145549-19-000598-index.htm
0001145549-19-000641,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919000641/0001145549-19-000641-index.htm
0001145549-19-000679,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000679/0001145549-19-000679-index.htm
0000277751-19-000002,N-MFP2,277751,JANUS INVESTMENT FUND,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/277751/000027775119000002/0000277751-19-000002-index.htm
0000356173-19-000011,N-MFP2,356173,Fidelity Colchester Street Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000011/0000356173-19-000011-index.htm
0000823535-19-000002,N-MFP2,823535,Variable Insurance Products Fund V,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/823535/000082353519000002/0000823535-19-000002-index.htm
0001145549-19-000374,N-MFP2,26262,JOHN HANCOCK CURRENT INTEREST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/26262/000114554919000374/0001145549-19-000374-index.htm
0001145549-19-000379,N-MFP2,814679,ADVANCED SERIES TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/814679/000114554919000379/0001145549-19-000379-index.htm
0001145549-19-000498,N-MFP2,908406,AMERICAN CENTURY INVESTMENT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/908406/000114554919000498/0001145549-19-000498-index.htm
0001145549-19-000573,N-MFP2,1131013,GuideStone Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1131013/000114554919000573/0001145549-19-000573-index.htm
0001145549-19-000591,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919000591/0001145549-19-000591-index.htm
0001145549-19-000653,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000653/0001145549-19-000653-index.htm
0001145549-19-000550,N-MFP2,855630,ELFUN GOVERNMENT MONEY MARKET FUND,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/855630/000114554919000550/0001145549-19-000550-index.htm
0001145549-19-000589,N-MFP2,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/850628/000114554919000589/0001145549-19-000589-index.htm
0001145549-19-000615,N-MFP2,205007,SHORT TERM INVESTMENTS TRUST,2019-01-08,2018-12-31,S000000222,https://www.sec.gov/Archives/edgar/data/205007/000114554919000615/0001145549-19-000615-index.htm
0000277751-19-000004,N-MFP2,277751,JANUS INVESTMENT FUND,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/277751/000027775119000004/0000277751-19-000004-index.htm
0000742212-19-000004,N-MFP2,742212,NORTHWESTERN MUTUAL SERIES FUND INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/742212/000074221219000004/0000742212-19-000004-index.htm
0001145549-19-000346,N-MFP2,1516523,Advisers Investment Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1516523/000114554919000346/0001145549-19-000346-index.htm
0000728889-19-000022,N-MFP2,752737,OPPENHEIMER VARIABLE ACCOUNT FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/752737/000072888919000022/0000728889-19-000022-index.htm
0000880709-19-000005,N-MFP2,880709,FIDELITY COURT STREET TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/880709/000088070919000005/0000880709-19-000005-index.htm
0001145549-19-000582,N-MFP2,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889512/000114554919000582/0001145549-19-000582-index.htm
0001145549-19-000593,N-MFP2,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/747576/000114554919000593/0001145549-19-000593-index.htm
0001145549-19-000681,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000681/0001145549-19-000681-index.htm
0001145549-19-000686,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000686/0001145549-19-000686-index.htm
0001145549-19-000660,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000660/0001145549-19-000660-index.htm
0000356173-19-000008,N-MFP2,356173,Fidelity Colchester Street Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000008/0000356173-19-000008-index.htm
0000880797-19-000003,N-MFP2,880797,FIDELITY UNION STREET TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/880797/000088079719000003/0000880797-19-000003-index.htm
0001145549-19-000313,N-MFP2,915092,MASTER INVESTMENT PORTFOLIO,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/915092/000114554919000313/0001145549-19-000313-index.htm
0001145549-19-000388,N-MFP2,889366,"BMO FUNDS, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889366/000114554919000388/0001145549-19-000388-index.htm
0001145549-19-000482,N-MFP2,1273878,VANGUARD CMT FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1273878/000114554919000482/0001145549-19-000482-index.htm
0001004726-19-000010,N-MFP2,798290,HSBC FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/798290/000100472619000010/0001004726-19-000010-index.htm
0001258897-19-000020,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719000020/0001258897-19-000020-index.htm
0000356173-19-000012,N-MFP2,356173,Fidelity Colchester Street Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/356173/000035617319000012/0000356173-19-000012-index.htm
0000702149-19-000002,N-MFP2,702149,NORTH CAROLINA CAPITAL MANAGEMENT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/702149/000070214919000002/0000702149-19-000002-index.htm
0001145549-19-000624,N-MFP2,719269,MFS VARIABLE INSURANCE TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/719269/000114554919000624/0001145549-19-000624-index.htm
0001145549-19-000673,N-MFP2,1403166,Master Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919000673/0001145549-19-000673-index.htm
0001145549-19-000674,N-MFP2,1403166,Master Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919000674/0001145549-19-000674-index.htm
0001145549-19-000417,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000417/0001145549-19-000417-index.htm
0001145549-19-000614,N-MFP2,205007,SHORT TERM INVESTMENTS TRUST,2019-01-08,2018-12-31,S000000220,https://www.sec.gov/Archives/edgar/data/205007/000114554919000614/0001145549-19-000614-index.htm
0001145549-19-000656,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000656/0001145549-19-000656-index.htm
0001145549-19-000672,N-MFP2,1403166,Master Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919000672/0001145549-19-000672-index.htm
0001145549-19-000308,N-MFP2,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1161852/000114554919000308/0001145549-19-000308-index.htm
0000894189-19-000118,N-MFP2,356134,FIRST AMERICAN FUNDS INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/356134/000089418919000118/0000894189-19-000118-index.htm
0000894189-19-000122,N-MFP2,356134,FIRST AMERICAN FUNDS INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/356134/000089418919000122/0000894189-19-000122-index.htm
0000917286-19-000008,N-MFP2,917286,FIDELITY HEREFORD STREET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/917286/000091728619000008/0000917286-19-000008-index.htm
0001145549-19-000537,N-MFP2,863209,INVESTORS CASH TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/863209/000114554919000537/0001145549-19-000537-index.htm
0001145549-19-000298,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919000298/0001145549-19-000298-index.htm
0001145549-19-000440,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919000440/0001145549-19-000440-index.htm
0001145549-19-000533,N-MFP2,55189,DEUTSCHE DWS MONEY FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/55189/000114554919000533/0001145549-19-000533-index.htm
0001145549-19-000682,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000682/0001145549-19-000682-index.htm
0001145549-19-000692,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000692/0001145549-19-000692-index.htm
0001022695-19-000007,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000007/0001022695-19-000007-index.htm
0001258897-19-000018,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719000018/0001258897-19-000018-index.htm
0001145549-19-000478,N-MFP2,857490,VANGUARD VARIABLE INSURANCE FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857490/000114554919000478/0001145549-19-000478-index.htm
0001145549-19-000496,N-MFP2,773674,AMERICAN CENTURY GOVERNMENT INCOME TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/773674/000114554919000496/0001145549-19-000496-index.htm
0001145549-19-000662,N-MFP2,315812,MORGAN STANLEY TAX FREE DAILY INCOME TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/315812/000114554919000662/0001145549-19-000662-index.htm
0001145549-19-000666,N-MFP2,1121257,JNL INVESTORS SERIES TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1121257/000114554919000666/0001145549-19-000666-index.htm
0001145549-19-000695,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000695/0001145549-19-000695-index.htm
0001718745-19-000022,N-MFP2,1217286,JPMorgan Trust I,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000022/0001718745-19-000022-index.htm
0001718745-19-000032,N-MFP2,763852,JPMORGAN TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/763852/000171874519000032/0001718745-19-000032-index.htm
0001145549-19-000484,N-MFP2,225997,VANGUARD MUNICIPAL BOND FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/225997/000114554919000484/0001145549-19-000484-index.htm
0001145549-19-000560,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1107414/000114554919000560/0001145549-19-000560-index.htm
0001145549-19-000684,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000684/0001145549-19-000684-index.htm
0001003715-19-000004,N-MFP2,812195,PIONEER MONEY MARKET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/812195/000100371519000004/0001003715-19-000004-index.htm
0001258897-19-000022,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719000022/0001258897-19-000022-index.htm
0000880797-19-000004,N-MFP2,880797,FIDELITY UNION STREET TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/880797/000088079719000004/0000880797-19-000004-index.htm
0001145549-19-000389,N-MFP2,1099692,PRUDENTIAL INVESTMENT PORTFOLIOS 2,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1099692/000114554919000389/0001145549-19-000389-index.htm
0001145549-19-000415,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000415/0001145549-19-000415-index.htm
0001145549-19-000500,N-MFP2,908406,AMERICAN CENTURY INVESTMENT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/908406/000114554919000500/0001145549-19-000500-index.htm
0001145549-19-000579,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919000579/0001145549-19-000579-index.htm
0001145549-19-000687,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000687/0001145549-19-000687-index.htm
0001616510-19-000002,N-MFP2,1027263,EQ ADVISORS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1027263/000161651019000002/0001616510-19-000002-index.htm
0001022695-19-000006,N-MFP2,1022695,FIDELITY REVERE STREET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1022695/000102269519000006/0001022695-19-000006-index.htm
0001145549-19-000561,N-MFP2,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1107414/000114554919000561/0001145549-19-000561-index.htm
0001145549-19-000654,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000654/0001145549-19-000654-index.htm
0001145549-19-000661,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000661/0001145549-19-000661-index.htm
0001145549-19-000386,N-MFP2,889366,"BMO FUNDS, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889366/000114554919000386/0001145549-19-000386-index.htm
0001145549-19-000310,N-MFP2,893818,BlackRock Funds III,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/893818/000114554919000310/0001145549-19-000310-index.htm
0001145549-19-000546,N-MFP2,887340,MAINSTAY VP FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/887340/000114554919000546/0001145549-19-000546-index.htm
0001145549-19-000603,N-MFP2,828806,AIM TREASURERS SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/828806/000114554919000603/0001145549-19-000603-index.htm
0000917286-19-000007,N-MFP2,917286,FIDELITY HEREFORD STREET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/917286/000091728619000007/0000917286-19-000007-index.htm
0001145549-19-000307,N-MFP2,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1161852/000114554919000307/0001145549-19-000307-index.htm
0001145549-19-000547,N-MFP2,1469192,MAINSTAY FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1469192/000114554919000547/0001145549-19-000547-index.htm
0001145549-19-000707,N-MFP2,795259,MUTUAL OF AMERICA INVESTMENT CORP,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/795259/000114554919000707/0001145549-19-000707-index.htm
0001145549-19-000669,N-MFP2,1121257,JNL INVESTORS SERIES TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1121257/000114554919000669/0001145549-19-000669-index.htm
0001145549-19-000670,N-MFP2,1403166,Master Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1403166/000114554919000670/0001145549-19-000670-index.htm
0001145549-19-000314,N-MFP2,65109,READY ASSETS GOVERNMENT LIQUIDITY FUND,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/65109/000114554919000314/0001145549-19-000314-index.htm
0001145549-19-000431,N-MFP2,719423,VALIC Co I,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/719423/000114554919000431/0001145549-19-000431-index.htm
0001145549-19-000436,N-MFP2,916620,NORTHERN FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/916620/000114554919000436/0001145549-19-000436-index.htm
0001145549-19-000441,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919000441/0001145549-19-000441-index.htm
0001145549-19-000553,N-MFP2,1094885,STATE STREET MASTER FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1094885/000114554919000553/0001145549-19-000553-index.htm
0001145549-19-000640,N-MFP2,918266,SCHWAB ANNUITY PORTFOLIOS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/918266/000114554919000640/0001145549-19-000640-index.htm
0001145549-19-000649,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000649/0001145549-19-000649-index.htm
0001145549-19-000414,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000414/0001145549-19-000414-index.htm
0001145549-19-000523,N-MFP2,858372,CASH ACCOUNT TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/858372/000114554919000523/0001145549-19-000523-index.htm
0001145549-19-000525,N-MFP2,703642,DEUTSCHE DWS MONEY MARKET TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/703642/000114554919000525/0001145549-19-000525-index.htm
0001145549-19-000527,N-MFP2,810573,DEUTSCHE DWS VARIABLE SERIES II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/810573/000114554919000527/0001145549-19-000527-index.htm
0001145549-19-000534,N-MFP2,862064,GOVERNMENT CASH MANAGEMENT PORTFOLIO,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/862064/000114554919000534/0001145549-19-000534-index.htm
0001145549-19-000578,N-MFP2,1140869,MASTER PORTFOLIO TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1140869/000114554919000578/0001145549-19-000578-index.htm
0001145549-19-000639,N-MFP2,832705,MORGAN STANLEY CALIF TAX FREE DAILY INCOME TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/832705/000114554919000639/0001145549-19-000639-index.htm
0001145549-19-000676,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000676/0001145549-19-000676-index.htm
0001145549-19-000297,N-MFP2,822977,GOLDMAN SACHS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/822977/000114554919000297/0001145549-19-000297-index.htm
0001718745-19-000018,N-MFP2,763852,JPMORGAN TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/763852/000171874519000018/0001718745-19-000018-index.htm
0001500666-19-000008,N-MFP2,740967,FIRST INVESTORS INCOME FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/740967/000150066619000008/0001500666-19-000008-index.htm
0000878662-19-000003,N-MFP2,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/878662/000087866219000003/0000878662-19-000003-index.htm
0001258897-19-000012,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719000012/0001258897-19-000012-index.htm
0001258897-19-000021,N-MFP2,856517,MONEY MARKET OBLIGATIONS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/856517/000125889719000021/0001258897-19-000021-index.htm
0001145549-19-000305,N-MFP2,814079,Funds For Institutions Series,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/814079/000114554919000305/0001145549-19-000305-index.htm
0001145549-19-000387,N-MFP2,889366,"BMO FUNDS, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889366/000114554919000387/0001145549-19-000387-index.htm
0001145549-19-000435,N-MFP2,724129,SUNAMERICA MONEY MARKET FUNDS INC,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/724129/000114554919000435/0001145549-19-000435-index.htm
0001145549-19-000652,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000652/0001145549-19-000652-index.htm
0001145549-19-000335,N-MFP2,777535,COLLEGE RETIREMENT EQUITIES FUND,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/777535/000114554919000335/0001145549-19-000335-index.htm
0001145549-19-000419,N-MFP2,1081400,WELLS FARGO FUNDS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1081400/000114554919000419/0001145549-19-000419-index.htm
0000811869-19-000002,N-MFP2,811869,THRIVENT MUTUAL FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/811869/000081186919000002/0000811869-19-000002-index.htm
0001145549-19-000680,N-MFP2,1060517,UBS Series Funds,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1060517/000114554919000680/0001145549-19-000680-index.htm
0001145549-19-000432,N-MFP2,778207,TRANSAMERICA SERIES TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/778207/000114554919000432/0001145549-19-000432-index.htm
0001718745-19-000024,N-MFP2,1217286,JPMorgan Trust I,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1217286/000171874519000024/0001718745-19-000024-index.htm
0001391461-19-000002,N-MFP2,1064046,RYDEX VARIABLE TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1064046/000139146119000002/0001391461-19-000002-index.htm
0001145549-19-000442,N-MFP2,710124,NORTHERN INSTITUTIONAL FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/710124/000114554919000442/0001145549-19-000442-index.htm
0001145549-19-000515,N-MFP2,853437,"T. Rowe Price U.S. Treasury Funds, Inc.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/853437/000114554919000515/0001145549-19-000515-index.htm
0001145549-19-000647,N-MFP2,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1227155/000114554919000647/0001145549-19-000647-index.htm
0001145549-19-000650,N-MFP2,857156,CHARLES SCHWAB FAMILY OF FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/857156/000114554919000650/0001145549-19-000650-index.htm
0000704207-19-000005,N-MFP2,704207,Fidelity Newbury Street Trust,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/704207/000070420719000005/0000704207-19-000005-index.htm
0001004726-19-000016,N-MFP2,1091439,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1091439/000100472619000016/0001004726-19-000016-index.htm
0001145549-19-000288,N-MFP2,1096012,AMERICAN BEACON SELECT FUNDS,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/1096012/000114554919000288/0001145549-19-000288-index.htm
0001145549-19-000376,N-MFP2,756913,JOHN HANCOCK VARIABLE INSURANCE TRUST,2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/756913/000114554919000376/0001145549-19-000376-index.htm
0001145549-19-000385,N-MFP2,889366,"BMO FUNDS, INC.",2019-01-08,2018-12-31,,https://www.sec.gov/Archives/edgar/data/889366/000114554919000385/0001145549-19-000385-index.htm
