accession_no,cik,name,filed_at,filing_url
0001145549-20-000588,916620,NORTHERN FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/916620/000114554920000588/0001145549-20-000588-index.htm
0001145549-20-000644,778108,DELAWARE GROUP EQUITY FUNDS IV,2020-01-08,https://www.sec.gov/Archives/edgar/data/778108/000114554920000644/0001145549-20-000644-index.htm
0001145549-20-000750,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/850628/000114554920000750/0001145549-20-000750-index.htm
0001145549-20-000701,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000701/0001145549-20-000701-index.htm
0001145549-20-000738,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/747576/000114554920000738/0001145549-20-000738-index.htm
0000803013-20-000002,803013,FIDELITY GARRISON STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/803013/000080301320000002/0000803013-20-000002-index.htm
0000880799-20-000004,880799,FIDELITY MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880799/000088079920000004/0000880799-20-000004-index.htm
0000894189-20-000134,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000134/0000894189-20-000134-index.htm
0001004726-20-000015,908695,USAA MUTUAL FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/908695/000100472620000015/0001004726-20-000015-index.htm
0001145549-20-000537,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000537/0001145549-20-000537-index.htm
0001145549-20-000664,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000664/0001145549-20-000664-index.htm
0001145549-20-000688,893818,BlackRock Funds III,2020-01-08,https://www.sec.gov/Archives/edgar/data/893818/000114554920000688/0001145549-20-000688-index.htm
0001145549-20-000708,356013,RETIREMENT SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/356013/000114554920000708/0001145549-20-000708-index.htm
0001145549-20-000824,1273878,VANGUARD CMT FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1273878/000114554920000824/0001145549-20-000824-index.htm
0001145549-20-000689,890089,MONEY MARKET PORTFOLIOS,2020-01-08,https://www.sec.gov/Archives/edgar/data/890089/000114554920000689/0001145549-20-000689-index.htm
0001145549-20-000720,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000720/0001145549-20-000720-index.htm
0001145549-20-000830,788606,VANGUARD PENNSYLVANIA TAX-FREE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/788606/000114554920000830/0001145549-20-000830-index.htm
0001145549-20-000605,724129,SUNAMERICA MONEY MARKET FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/724129/000114554920000605/0001145549-20-000605-index.htm
0001145549-20-000671,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000671/0001145549-20-000671-index.htm
0001145549-20-000820,858372,CASH ACCOUNT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/858372/000114554920000820/0001145549-20-000820-index.htm
0000356173-20-000008,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000008/0000356173-20-000008-index.htm
0000917286-20-000008,917286,FIDELITY HEREFORD STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/917286/000091728620000008/0000917286-20-000008-index.htm
0001145549-20-000663,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000663/0001145549-20-000663-index.htm
0001258897-20-000013,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000013/0001258897-20-000013-index.htm
0001145549-20-000535,67590,"PRUDENTIAL Government Money Market Fund, INC.",2020-01-08,https://www.sec.gov/Archives/edgar/data/67590/000114554920000535/0001145549-20-000535-index.htm
0001258897-20-000007,912577,FEDERATED INSURANCE SERIES,2020-01-08,https://www.sec.gov/Archives/edgar/data/912577/000125889720000007/0001258897-20-000007-index.htm
0000880709-20-000005,880709,FIDELITY COURT STREET TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880709/000088070920000005/0000880709-20-000005-index.htm
0000880709-20-000004,880709,FIDELITY COURT STREET TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880709/000088070920000004/0000880709-20-000004-index.htm
0000917286-20-000007,917286,FIDELITY HEREFORD STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/917286/000091728620000007/0000917286-20-000007-index.htm
0001717734-20-000010,1392417,"MFS INSTITUTIONAL MONEY MARKET PORTFOLIO, A SERIES OF THE MFS SERIES TRUST XIV",2020-01-08,https://www.sec.gov/Archives/edgar/data/1392417/000171773420000010/0001717734-20-000010-index.htm
0000880709-20-000006,880709,FIDELITY COURT STREET TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880709/000088070920000006/0000880709-20-000006-index.htm
0000880799-20-000006,880799,FIDELITY MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880799/000088079920000006/0000880799-20-000006-index.htm
0001004726-20-000025,896162,DFA INVESTMENT TRUST CO,2020-01-08,https://www.sec.gov/Archives/edgar/data/896162/000100472620000025/0001004726-20-000025-index.htm
0001145549-20-000543,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000543/0001145549-20-000543-index.htm
0001145549-20-000716,1140869,MASTER PORTFOLIO TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1140869/000114554920000716/0001145549-20-000716-index.htm
0001145549-20-000725,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000725/0001145549-20-000725-index.htm
0001145549-20-000676,859037,MORGAN STANLEY NY MUNICIPAL MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/859037/000114554920000676/0001145549-20-000676-index.htm
0001145549-20-000722,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000722/0001145549-20-000722-index.htm
0001145549-20-000757,1094885,STATE STREET MASTER FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1094885/000114554920000757/0001145549-20-000757-index.htm
0001145549-20-000819,858372,CASH ACCOUNT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/858372/000114554920000819/0001145549-20-000819-index.htm
0001258897-20-000008,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000008/0001258897-20-000008-index.htm
0001145549-20-000477,719269,MFS VARIABLE INSURANCE TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/719269/000114554920000477/0001145549-20-000477-index.htm
0001258897-20-000009,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000009/0001258897-20-000009-index.htm
0000356173-20-000013,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000013/0000356173-20-000013-index.htm
0000878662-20-000004,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/878662/000087866220000004/0000878662-20-000004-index.htm
0001145549-20-000466,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/1034386/000114554920000466/0001145549-20-000466-index.htm
0001145549-20-000609,1026977,CITY NATIONAL ROCHDALE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1026977/000114554920000609/0001145549-20-000609-index.htm
0001145549-20-000706,65109,READY ASSETS GOVERNMENT LIQUIDITY FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/65109/000114554920000706/0001145549-20-000706-index.htm
0001145549-20-000713,1140869,MASTER PORTFOLIO TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1140869/000114554920000713/0001145549-20-000713-index.htm
0001145549-20-000727,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000727/0001145549-20-000727-index.htm
0001145549-20-000460,912029,"T. Rowe Price Summit Municipal Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/912029/000114554920000460/0001145549-20-000460-index.htm
0001145549-20-000544,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000544/0001145549-20-000544-index.htm
0001145549-20-000642,1121257,JNL INVESTORS SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1121257/000114554920000642/0001145549-20-000642-index.htm
0001145549-20-000791,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000791/0001145549-20-000791-index.htm
0001145549-20-000825,106830,VANGUARD MONEY MARKET RESERVES,2020-01-08,https://www.sec.gov/Archives/edgar/data/106830/000114554920000825/0001145549-20-000825-index.htm
0000277751-20-000003,277751,JANUS INVESTMENT FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/277751/000027775120000003/0000277751-20-000003-index.htm
0001145549-20-000730,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000730/0001145549-20-000730-index.htm
0001145549-20-000564,1099692,PRUDENTIAL INVESTMENT PORTFOLIOS 2,2020-01-08,https://www.sec.gov/Archives/edgar/data/1099692/000114554920000564/0001145549-20-000564-index.htm
0001145549-20-000652,1403166,Master Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1403166/000114554920000652/0001145549-20-000652-index.htm
0001145549-20-000657,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000657/0001145549-20-000657-index.htm
0000894189-20-000135,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000135/0000894189-20-000135-index.htm
0001145549-20-000552,746458,AMERICAN CENTURY MUNICIPAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/746458/000114554920000552/0001145549-20-000552-index.htm
0001145549-20-000680,814079,Funds For Institutions Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/814079/000114554920000680/0001145549-20-000680-index.htm
0001004726-20-000022,908695,USAA MUTUAL FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/908695/000100472620000022/0001004726-20-000022-index.htm
0001145549-20-000655,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000655/0001145549-20-000655-index.htm
0001145549-20-000541,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000541/0001145549-20-000541-index.htm
0001145549-20-000674,356409,MORGAN STANLEY US GOVERNMENT MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/356409/000114554920000674/0001145549-20-000674-index.htm
0001145549-20-000707,869663,Ready Assets U.S. Treasury Money Fund,2020-01-08,https://www.sec.gov/Archives/edgar/data/869663/000114554920000707/0001145549-20-000707-index.htm
0001145549-20-000709,353281,BLACKROCK FINANCIAL INSTITUTIONS SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/353281/000114554920000709/0001145549-20-000709-index.htm
0001145549-20-000721,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000721/0001145549-20-000721-index.htm
0001145549-20-000827,225997,VANGUARD MUNICIPAL BOND FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/225997/000114554920000827/0001145549-20-000827-index.htm
0001718745-20-000016,1659326,JPMORGAN TRUST IV,2020-01-08,https://www.sec.gov/Archives/edgar/data/1659326/000171874520000016/0001718745-20-000016-index.htm
0000704207-20-000004,704207,Fidelity Newbury Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/704207/000070420720000004/0000704207-20-000004-index.htm
0001145549-20-000648,1121257,JNL INVESTORS SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1121257/000114554920000648/0001145549-20-000648-index.htm
0001145549-20-000737,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000737/0001145549-20-000737-index.htm
0001145549-20-000774,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2020-01-08,https://www.sec.gov/Archives/edgar/data/828806/000114554920000774/0001145549-20-000774-index.htm
0001145549-20-000752,1757150,Capital Group Central Fund Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/1757150/000114554920000752/0001145549-20-000752-index.htm
0001022695-20-000006,1022695,FIDELITY REVERE STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1022695/000102269520000006/0001022695-20-000006-index.htm
0001145549-20-000607,719423,VALIC Co I,2020-01-08,https://www.sec.gov/Archives/edgar/data/719423/000114554920000607/0001145549-20-000607-index.htm
0001145549-20-000669,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000669/0001145549-20-000669-index.htm
0001145549-20-000763,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/747576/000114554920000763/0001145549-20-000763-index.htm
0001145549-20-000793,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000793/0001145549-20-000793-index.htm
0001145549-20-000462,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/795384/000114554920000462/0001145549-20-000462-index.htm
0000278001-20-000002,278001,FIDELITY PHILLIPS STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/278001/000027800120000002/0000278001-20-000002-index.htm
0000878663-20-000003,878663,FIDELITY NEW YORK MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/878663/000087866320000003/0000878663-20-000003-index.htm
0001145549-20-000586,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000586/0001145549-20-000586-index.htm
0001145549-20-000745,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/747576/000114554920000745/0001145549-20-000745-index.htm
0001145549-20-000823,1273878,VANGUARD CMT FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1273878/000114554920000823/0001145549-20-000823-index.htm
0001258897-20-000016,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000016/0001258897-20-000016-index.htm
0001145549-20-000594,1062374,VALIC Co II,2020-01-08,https://www.sec.gov/Archives/edgar/data/1062374/000114554920000594/0001145549-20-000594-index.htm
0001718745-20-000009,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000009/0001718745-20-000009-index.htm
0001145549-20-000476,63068,MFS SERIES TRUST IV,2020-01-08,https://www.sec.gov/Archives/edgar/data/63068/000114554920000476/0001145549-20-000476-index.htm
0001145549-20-000547,711175,PRUDENTIAL SERIES FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/711175/000114554920000547/0001145549-20-000547-index.htm
0001145549-20-000540,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000540/0001145549-20-000540-index.htm
0001145549-20-000560,26262,JOHN HANCOCK CURRENT INTEREST,2020-01-08,https://www.sec.gov/Archives/edgar/data/26262/000114554920000560/0001145549-20-000560-index.htm
0001145549-20-000653,1403166,Master Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1403166/000114554920000653/0001145549-20-000653-index.htm
0001718745-20-000010,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000010/0001718745-20-000010-index.htm
0000894189-20-000136,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000136/0000894189-20-000136-index.htm
0001145549-20-000523,885709,PAYDEN & RYGEL INVESTMENT GROUP,2020-01-08,https://www.sec.gov/Archives/edgar/data/885709/000114554920000523/0001145549-20-000523-index.htm
0001145549-20-000658,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000658/0001145549-20-000658-index.htm
0001145549-20-000726,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000726/0001145549-20-000726-index.htm
0001718745-20-000022,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000022/0001718745-20-000022-index.htm
0001145549-20-000467,316968,"T. Rowe Price Government Money Fund, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/316968/000114554920000467/0001145549-20-000467-index.htm
0001145549-20-000698,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000698/0001145549-20-000698-index.htm
