accession_no,cik,name,filed_at,filing_url
0001145549-20-000602,314650,EDWARD JONES MONEY MARKET FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/314650/000114554920000602/0001145549-20-000602-index.htm
0001718745-20-000012,763852,JPMORGAN TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/763852/000171874520000012/0001718745-20-000012-index.htm
0001145549-20-000673,1011008,State Street Navigator Securities Lending Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1011008/000114554920000673/0001145549-20-000673-index.htm
0001145549-20-000682,814079,Funds For Institutions Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/814079/000114554920000682/0001145549-20-000682-index.htm
0001145549-20-000826,106830,VANGUARD MONEY MARKET RESERVES,2020-01-08,https://www.sec.gov/Archives/edgar/data/106830/000114554920000826/0001145549-20-000826-index.htm
0001718745-20-000011,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000011/0001718745-20-000011-index.htm
0001145549-20-000471,1169187,"T. Rowe Price Institutional Income Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/1169187/000114554920000471/0001145549-20-000471-index.htm
0001145549-20-000768,842790,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),2020-01-08,https://www.sec.gov/Archives/edgar/data/842790/000114554920000768/0001145549-20-000768-index.htm
0000357057-20-000003,357057,FIDELITY MASSACHUSETTS MUNICIPAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/357057/000035705720000003/0000357057-20-000003-index.htm
0001022695-20-000005,1022695,FIDELITY REVERE STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1022695/000102269520000005/0001022695-20-000005-index.htm
0001022695-20-000008,1022695,FIDELITY REVERE STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1022695/000102269520000008/0001022695-20-000008-index.htm
0001145549-20-000690,893818,BlackRock Funds III,2020-01-08,https://www.sec.gov/Archives/edgar/data/893818/000114554920000690/0001145549-20-000690-index.htm
0001145549-20-000732,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000732/0001145549-20-000732-index.htm
0001145549-20-000797,810893,PIMCO FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/810893/000114554920000797/0001145549-20-000797-index.htm
0001145549-20-000582,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000582/0001145549-20-000582-index.htm
0001145549-20-000747,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000747/0001145549-20-000747-index.htm
0001145549-20-000821,891190,VANGUARD ADMIRAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/891190/000114554920000821/0001145549-20-000821-index.htm
0001580642-20-000103,1029068,ADVISORONE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1029068/000158064220000103/0001580642-20-000103-index.htm
0000880797-20-000003,880797,FIDELITY UNION STREET TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/880797/000088079720000003/0000880797-20-000003-index.htm
0001145549-20-000711,701939,SEI DAILY INCOME TRUST /MA/,2020-01-08,https://www.sec.gov/Archives/edgar/data/701939/000114554920000711/0001145549-20-000711-index.htm
0001145549-20-000635,787441,MAINSTAY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/787441/000114554920000635/0001145549-20-000635-index.htm
0001145549-20-000638,356476,GREAT-WEST FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356476/000114554920000638/0001145549-20-000638-index.htm
0001145549-20-000731,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000731/0001145549-20-000731-index.htm
0001145549-20-000748,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000748/0001145549-20-000748-index.htm
0001258897-20-000003,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000003/0001258897-20-000003-index.htm
0001145549-20-000545,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000545/0001145549-20-000545-index.htm
0001145549-20-000672,930007,PACE SELECT ADVISORS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/930007/000114554920000672/0001145549-20-000672-index.htm
0001145549-20-000705,765485,INSTITUTIONAL FIDUCIARY TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/765485/000114554920000705/0001145549-20-000705-index.htm
0001145549-20-000636,1469192,MAINSTAY FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1469192/000114554920000636/0001145549-20-000636-index.htm
0001145549-20-000773,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2020-01-08,https://www.sec.gov/Archives/edgar/data/828806/000114554920000773/0001145549-20-000773-index.htm
0001145549-20-000828,821404,VANGUARD NEW JERSEY TAX-FREE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/821404/000114554920000828/0001145549-20-000828-index.htm
0000702149-20-000002,702149,NORTH CAROLINA CAPITAL MANAGEMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/702149/000070214920000002/0000702149-20-000002-index.htm
0001145549-20-000640,933691,JNL SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/933691/000114554920000640/0001145549-20-000640-index.htm
0001145549-20-000665,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000665/0001145549-20-000665-index.htm
0001145549-20-000683,814079,Funds For Institutions Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/814079/000114554920000683/0001145549-20-000683-index.htm
0001145549-20-000700,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000700/0001145549-20-000700-index.htm
0001145549-20-000712,701939,SEI DAILY INCOME TRUST /MA/,2020-01-08,https://www.sec.gov/Archives/edgar/data/701939/000114554920000712/0001145549-20-000712-index.htm
0001258897-20-000012,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000012/0001258897-20-000012-index.htm
0000357057-20-000004,357057,FIDELITY MASSACHUSETTS MUNICIPAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/357057/000035705720000004/0000357057-20-000004-index.htm
0001145549-20-000589,916620,NORTHERN FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/916620/000114554920000589/0001145549-20-000589-index.htm
0001145549-20-000654,1403166,Master Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/1403166/000114554920000654/0001145549-20-000654-index.htm
0001145549-20-000733,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000733/0001145549-20-000733-index.htm
0001145549-20-000736,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000736/0001145549-20-000736-index.htm
0001258897-20-000020,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000020/0001258897-20-000020-index.htm
0001718745-20-000013,763852,JPMORGAN TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/763852/000171874520000013/0001718745-20-000013-index.htm
0000356173-20-000009,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000009/0000356173-20-000009-index.htm
0001004726-20-000010,1039803,PROFUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1039803/000100472620000010/0001004726-20-000010-index.htm
0001145549-20-000728,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000728/0001145549-20-000728-index.htm
0001145549-20-000470,853437,"T. Rowe Price U.S. Treasury Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/853437/000114554920000470/0001145549-20-000470-index.htm
0001145549-20-000585,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000585/0001145549-20-000585-index.htm
0001145549-20-000668,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000668/0001145549-20-000668-index.htm
0001145549-20-000684,1065899,ALIGHT SERIES TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1065899/000114554920000684/0001145549-20-000684-index.htm
0001145549-20-000687,1161852,MASTER INSTITUTIONAL MONEY MARKET LLC,2020-01-08,https://www.sec.gov/Archives/edgar/data/1161852/000114554920000687/0001145549-20-000687-index.htm
0001145549-20-000814,55189,DEUTSCHE DWS MONEY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/55189/000114554920000814/0001145549-20-000814-index.htm
0001145549-20-000475,798244,MFS SERIES TRUST I,2020-01-08,https://www.sec.gov/Archives/edgar/data/798244/000114554920000475/0001145549-20-000475-index.htm
0001145549-20-000662,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000662/0001145549-20-000662-index.htm
0001145549-20-000810,863209,INVESTORS CASH TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/863209/000114554920000810/0001145549-20-000810-index.htm
0001258897-20-000001,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000001/0001258897-20-000001-index.htm
0001145549-20-000520,830744,WILMINGTON FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/830744/000114554920000520/0001145549-20-000520-index.htm
0001145549-20-000531,888129,GABELLI MONEY MARKET FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/888129/000114554920000531/0001145549-20-000531-index.htm
0001145549-20-000597,889366,"BMO FUNDS, INC.",2020-01-08,https://www.sec.gov/Archives/edgar/data/889366/000114554920000597/0001145549-20-000597-index.htm
0001145549-20-000788,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000788/0001145549-20-000788-index.htm
0001145549-20-000816,703642,DEUTSCHE DWS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/703642/000114554920000816/0001145549-20-000816-index.htm
0001398344-20-000418,778206,SHELTON FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/778206/000139834420000418/0001398344-20-000418-index.htm
0001022695-20-000007,1022695,FIDELITY REVERE STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1022695/000102269520000007/0001022695-20-000007-index.htm
0001145549-20-000464,920467,"T. Rowe Price Fixed Income Series, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/920467/000114554920000464/0001145549-20-000464-index.htm
0001145549-20-000659,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000659/0001145549-20-000659-index.htm
0001145549-20-000696,915092,MASTER INVESTMENT PORTFOLIO,2020-01-08,https://www.sec.gov/Archives/edgar/data/915092/000114554920000696/0001145549-20-000696-index.htm
0001145549-20-000704,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000704/0001145549-20-000704-index.htm
0001145549-20-000719,918266,SCHWAB ANNUITY PORTFOLIOS,2020-01-08,https://www.sec.gov/Archives/edgar/data/918266/000114554920000719/0001145549-20-000719-index.htm
0001145549-20-000760,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/747576/000114554920000760/0001145549-20-000760-index.htm
0001145549-20-000775,828806,AIM TREASURER'S SERIES TRUST (INVESCO TREASURER'S SERIES TRUST),2020-01-08,https://www.sec.gov/Archives/edgar/data/828806/000114554920000775/0001145549-20-000775-index.htm
0001258897-20-000004,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000004/0001258897-20-000004-index.htm
0001258897-20-000014,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000014/0001258897-20-000014-index.htm
0000704207-20-000003,704207,Fidelity Newbury Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/704207/000070420720000003/0000704207-20-000003-index.htm
0001145549-20-000699,915092,MASTER INVESTMENT PORTFOLIO,2020-01-08,https://www.sec.gov/Archives/edgar/data/915092/000114554920000699/0001145549-20-000699-index.htm
0001145549-20-000818,703642,DEUTSCHE DWS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/703642/000114554920000818/0001145549-20-000818-index.htm
0001003715-20-000010,795259,MUTUAL OF AMERICA INVESTMENT CORP,2020-01-08,https://www.sec.gov/Archives/edgar/data/795259/000100371520000010/0001003715-20-000010-index.htm
0001145549-20-000743,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000743/0001145549-20-000743-index.htm
0001145549-20-000754,1094885,STATE STREET MASTER FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1094885/000114554920000754/0001145549-20-000754-index.htm
0001145549-20-000761,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000761/0001145549-20-000761-index.htm
0001145549-20-000780,896435,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE FUNDS),2020-01-08,https://www.sec.gov/Archives/edgar/data/896435/000114554920000780/0001145549-20-000780-index.htm
0001258897-20-000017,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000017/0001258897-20-000017-index.htm
0001718745-20-000015,1659326,JPMORGAN TRUST IV,2020-01-08,https://www.sec.gov/Archives/edgar/data/1659326/000171874520000015/0001718745-20-000015-index.htm
0001004726-20-000011,1039803,PROFUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1039803/000100472620000011/0001004726-20-000011-index.htm
0001145549-20-000527,311635,LORD ABBETT US GOV & GOV SPONSORED ENTERPR MONEY MARKET FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/311635/000114554920000527/0001145549-20-000527-index.htm
0001145549-20-000569,1272950,RBC FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1272950/000114554920000569/0001145549-20-000569-index.htm
0001145549-20-000584,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000584/0001145549-20-000584-index.htm
0001145549-20-000634,862021,AB FIXED INCOME SHARES INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/862021/000114554920000634/0001145549-20-000634-index.htm
0001145549-20-000649,855630,ELFUN GOVERNMENT MONEY MARKET FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/855630/000114554920000649/0001145549-20-000649-index.htm
0001145549-20-000718,1140869,MASTER PORTFOLIO TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1140869/000114554920000718/0001145549-20-000718-index.htm
0001145549-20-000746,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000746/0001145549-20-000746-index.htm
0001145549-20-000756,1094885,STATE STREET MASTER FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1094885/000114554920000756/0001145549-20-000756-index.htm
0001145549-20-000790,205007,SHORT-TERM INVESTMENTS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/205007/000114554920000790/0001145549-20-000790-index.htm
0001145549-20-000812,862064,GOVERNMENT CASH MANAGEMENT PORTFOLIO,2020-01-08,https://www.sec.gov/Archives/edgar/data/862064/000114554920000812/0001145549-20-000812-index.htm
0000356173-20-000010,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000010/0000356173-20-000010-index.htm
0001145549-20-000524,830744,WILMINGTON FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/830744/000114554920000524/0001145549-20-000524-index.htm
0001145549-20-000681,814079,Funds For Institutions Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/814079/000114554920000681/0001145549-20-000681-index.htm
0001145549-20-000710,701939,SEI DAILY INCOME TRUST /MA/,2020-01-08,https://www.sec.gov/Archives/edgar/data/701939/000114554920000710/0001145549-20-000710-index.htm
0001145549-20-000762,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/747576/000114554920000762/0001145549-20-000762-index.htm
0001145549-20-000815,810573,DEUTSCHE DWS VARIABLE SERIES II,2020-01-08,https://www.sec.gov/Archives/edgar/data/810573/000114554920000815/0001145549-20-000815-index.htm
0001145549-20-000538,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000538/0001145549-20-000538-index.htm
0001145549-20-000749,850628,LEGG MASON PARTNERS PREMIUM MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/850628/000114554920000749/0001145549-20-000749-index.htm
0001258897-20-000018,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000018/0001258897-20-000018-index.htm
0001718745-20-000025,1217286,JPMorgan Trust I,2020-01-08,https://www.sec.gov/Archives/edgar/data/1217286/000171874520000025/0001718745-20-000025-index.htm
0000878662-20-000003,878662,FIDELITY CALIFORNIA MUNICIPAL TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/878662/000087866220000003/0000878662-20-000003-index.htm
0001004726-20-000018,908695,USAA MUTUAL FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/908695/000100472620000018/0001004726-20-000018-index.htm
0001145549-20-000539,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000539/0001145549-20-000539-index.htm
0001145549-20-000703,1227155,MORGAN STANLEY INSTITUTIONAL LIQUIDITY FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1227155/000114554920000703/0001145549-20-000703-index.htm
0001145549-20-000724,857156,CHARLES SCHWAB FAMILY OF FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857156/000114554920000724/0001145549-20-000724-index.htm
0001145549-20-000769,842790,AIM INVESTMENT SECURITIES FUNDS (INVESCO INVESTMENT SECURITIES FUNDS),2020-01-08,https://www.sec.gov/Archives/edgar/data/842790/000114554920000769/0001145549-20-000769-index.htm
0001145549-20-000809,863209,INVESTORS CASH TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/863209/000114554920000809/0001145549-20-000809-index.htm
0000035315-20-000004,35315,FIDELITY SALEM STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/35315/000003531520000004/0000035315-20-000004-index.htm
0000894189-20-000133,356134,FIRST AMERICAN FUNDS INC,2020-01-08,https://www.sec.gov/Archives/edgar/data/356134/000089418920000133/0000894189-20-000133-index.htm
0001004726-20-000019,798290,HSBC FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/798290/000100472620000019/0001004726-20-000019-index.htm
0001145549-20-000542,822977,GOLDMAN SACHS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/822977/000114554920000542/0001145549-20-000542-index.htm
0001145549-20-000596,889366,"BMO FUNDS, INC.",2020-01-08,https://www.sec.gov/Archives/edgar/data/889366/000114554920000596/0001145549-20-000596-index.htm
0001145549-20-000661,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000661/0001145549-20-000661-index.htm
0001145549-20-000666,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000666/0001145549-20-000666-index.htm
0001145549-20-000735,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000735/0001145549-20-000735-index.htm
0001145549-20-000742,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000742/0001145549-20-000742-index.htm
0001145549-20-000808,863209,INVESTORS CASH TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/863209/000114554920000808/0001145549-20-000808-index.htm
0001145549-20-000599,889366,"BMO FUNDS, INC.",2020-01-08,https://www.sec.gov/Archives/edgar/data/889366/000114554920000599/0001145549-20-000599-index.htm
0001145549-20-000656,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000656/0001145549-20-000656-index.htm
0001145549-20-000660,1060517,UBS Series Funds,2020-01-08,https://www.sec.gov/Archives/edgar/data/1060517/000114554920000660/0001145549-20-000660-index.htm
0001145549-20-000829,788599,VANGUARD NEW YORK TAX-FREE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/788599/000114554920000829/0001145549-20-000829-index.htm
0001145549-20-000831,857490,VANGUARD VARIABLE INSURANCE FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/857490/000114554920000831/0001145549-20-000831-index.htm
0001145549-20-000465,315748,"T. Rowe Price Tax-Exempt Money Fund, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/315748/000114554920000465/0001145549-20-000465-index.htm
0001145549-20-000549,773674,AMERICAN CENTURY GOVERNMENT INCOME TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/773674/000114554920000549/0001145549-20-000549-index.htm
0001145549-20-000744,889512,LEGG MASON PARTNERS INSTITUTIONAL TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/889512/000114554920000744/0001145549-20-000744-index.htm
0001145549-20-000817,703642,DEUTSCHE DWS MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/703642/000114554920000817/0001145549-20-000817-index.htm
0001258897-20-000010,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000010/0001258897-20-000010-index.htm
0001718745-20-000024,763852,JPMORGAN TRUST II,2020-01-08,https://www.sec.gov/Archives/edgar/data/763852/000171874520000024/0001718745-20-000024-index.htm
0001145549-20-000458,1096012,AMERICAN BEACON SELECT FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1096012/000114554920000458/0001145549-20-000458-index.htm
0001145549-20-000463,795384,"T. Rowe Price State Tax-Free Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/795384/000114554920000463/0001145549-20-000463-index.htm
0001145549-20-000548,717316,AMERICAN CENTURY CALIFORNIA TAX FREE & MUNICIPAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/717316/000114554920000548/0001145549-20-000548-index.htm
0001145549-20-000587,916620,NORTHERN FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/916620/000114554920000587/0001145549-20-000587-index.htm
0001145549-20-000679,814079,Funds For Institutions Series,2020-01-08,https://www.sec.gov/Archives/edgar/data/814079/000114554920000679/0001145549-20-000679-index.htm
0001145549-20-000755,1094885,STATE STREET MASTER FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1094885/000114554920000755/0001145549-20-000755-index.htm
0000356173-20-000012,356173,Fidelity Colchester Street Trust,2020-01-08,https://www.sec.gov/Archives/edgar/data/356173/000035617320000012/0000356173-20-000012-index.htm
0000793769-20-000005,793769,HARBOR FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/793769/000079376920000005/0000793769-20-000005-index.htm
0001258897-20-000006,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000006/0001258897-20-000006-index.htm
0000035315-20-000003,35315,FIDELITY SALEM STREET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/35315/000003531520000003/0000035315-20-000003-index.htm
0001145549-20-000637,887340,MAINSTAY VP FUNDS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/887340/000114554920000637/0001145549-20-000637-index.htm
0001258897-20-000015,856517,MONEY MARKET OBLIGATIONS TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/856517/000125889720000015/0001258897-20-000015-index.htm
0000823535-20-000002,823535,Variable Insurance Products Fund V,2020-01-08,https://www.sec.gov/Archives/edgar/data/823535/000082353520000002/0000823535-20-000002-index.htm
0001145549-20-000468,1034386,"T. Rowe Price Reserve Investment Funds, Inc.",2020-01-08,https://www.sec.gov/Archives/edgar/data/1034386/000114554920000468/0001145549-20-000468-index.htm
0001145549-20-000581,710124,NORTHERN INSTITUTIONAL FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/710124/000114554920000581/0001145549-20-000581-index.htm
0001145549-20-000734,1107414,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/1107414/000114554920000734/0001145549-20-000734-index.htm
0001145549-20-000758,1094885,STATE STREET MASTER FUNDS,2020-01-08,https://www.sec.gov/Archives/edgar/data/1094885/000114554920000758/0001145549-20-000758-index.htm
0001145549-20-000779,896435,AIM VARIABLE INSURANCE FUNDS (INVESCO VARIABLE INSURANCE FUNDS),2020-01-08,https://www.sec.gov/Archives/edgar/data/896435/000114554920000779/0001145549-20-000779-index.htm
0000277751-20-000004,277751,JANUS INVESTMENT FUND,2020-01-08,https://www.sec.gov/Archives/edgar/data/277751/000027775120000004/0000277751-20-000004-index.htm
0001003715-20-000011,812195,PIONEER MONEY MARKET TRUST,2020-01-08,https://www.sec.gov/Archives/edgar/data/812195/000100371520000011/0001003715-20-000011-index.htm
0001145549-20-000370,778207,TRANSAMERICA SERIES TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/778207/000114554920000370/0001145549-20-000370-index.htm
0001206774-20-000025,2663,VOYA GOVERNMENT MONEY MARKET PORTFOLIO,2020-01-07,https://www.sec.gov/Archives/edgar/data/2663/000120677420000025/0001206774-20-000025-index.htm
0001104659-20-002007,807878,PFM Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/807878/000110465920002007/0001104659-20-002007-index.htm
0001145549-20-000440,927972,MASSMUTUAL PREMIER FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/927972/000114554920000440/0001145549-20-000440-index.htm
0001717734-20-000008,844779,BLACKROCK FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/844779/000171773420000008/0001717734-20-000008-index.htm
0001398344-20-000324,702435,Meeder Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/702435/000139834420000324/0001398344-20-000324-index.htm
0001004726-20-000006,864508,Cavanal Hill Funds,2020-01-07,https://www.sec.gov/Archives/edgar/data/864508/000100472620000006/0001004726-20-000006-index.htm
0001145549-20-000397,1081400,WELLS FARGO FUNDS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1081400/000114554920000397/0001145549-20-000397-index.htm
0001717734-20-000005,1027263,EQ ADVISORS TRUST,2020-01-07,https://www.sec.gov/Archives/edgar/data/1027263/000171773420000005/0001717734-20-000005-index.htm
0000883622-20-000001,883622,IVY FUNDS,2020-01-07,https://www.sec.gov/Archives/edgar/data/883622/000088362220000001/0000883622-20-000001-index.htm
